Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
China (Volksrepublik),131,97,66,0.68041237113402064,ZH,2022-01
Irak,224,137,54,0.39416058394160586,ZH,2022-01
Iran,182,143,66,0.46153846153846156,ZH,2022-01
Sri Lanka,631,428,257,0.60046728971962615,ZH,2022-01
Syrien,2247,1267,534,0.42146803472770322,ZH,2022-01
Türkei,804,548,135,0.24635036496350365,ZH,2022-01
Gesamttotal,743,451,199,0.44124168514412415,ZG,2022-01
Äthiopien,7,4,0,0,ZG,2022-01
Eritrea,288,169,88,0.52071005917159763,ZG,2022-01
Somalia,29,18,5,0.27777777777777779,ZG,2022-01
Afghanistan,43,28,13,0.4642857142857143,ZG,2022-01
China (Volksrepublik),4,4,4,1,ZG,2022-01
Irak,13,9,3,0.33333333333333331,ZG,2022-01
Iran,6,6,5,0.83333333333333337,ZG,2022-01
Sri Lanka,95,61,34,0.55737704918032782,ZG,2022-01
Syrien,145,82,32,0.3902439024390244,ZG,2022-01
Türkei,101,61,12,0.19672131147540983,ZG,2022-01
Gesamttotal,4462,2760,1099,0.39818840579710146,AG,2022-02
Äthiopien,41,25,8,0.32,AG,2022-02
Eritrea,2050,1266,642,0.50710900473933651,AG,2022-02
Somalia,43,23,6,0.2608695652173913,AG,2022-02
Afghanistan,203,115,37,0.32173913043478258,AG,2022-02
China (Volksrepublik),34,23,17,0.73913043478260865,AG,2022-02
Irak,87,51,13,0.25490196078431371,AG,2022-02
Iran,55,45,17,0.37777777777777777,AG,2022-02
Sri Lanka,303,215,123,0.5720930232558139,AG,2022-02
Syrien,835,470,146,0.31063829787234043,AG,2022-02
Türkei,591,394,44,0.1116751269035533,AG,2022-02
Gesamttotal,104,73,40,0.54794520547945202,AI,2022-02
Eritrea,51,34,26,0.76470588235294112,AI,2022-02
Afghanistan,1,1,1,1,AI,2022-02
China (Volksrepublik),2,2,1,0.5,AI,2022-02
Irak,1,1,1,1,AI,2022-02
Sri Lanka,13,11,6,0.54545454545454541,AI,2022-02
Syrien,18,12,5,0.41666666666666669,AI,2022-02
Türkei,15,10,0,0,AI,2022-02
Gesamttotal,432,262,126,0.48091603053435117,AR,2022-02
Äthiopien,1,1,0,0,AR,2022-02
Eritrea,186,109,62,0.56880733944954132,AR,2022-02
Somalia,8,6,4,0.66666666666666663,AR,2022-02
Afghanistan,20,16,8,0.5,AR,2022-02
China (Volksrepublik),4,1,0,0,AR,2022-02
Irak,4,4,2,0.5,AR,2022-02
Iran,6,5,2,0.4,AR,2022-02
Sri Lanka,43,31,16,0.5161290322580645,AR,2022-02
Syrien,85,44,19,0.43181818181818182,AR,2022-02
Türkei,61,36,9,0.25,AR,2022-02
Gesamttotal,7466,4499,1927,0.42831740386752609,BE,2022-02
Äthiopien,57,34,15,0.44117647058823528,BE,2022-02
Eritrea,3023,1784,867,0.48598654708520178,BE,2022-02
Somalia,108,56,18,0.32142857142857145,BE,2022-02
